食品群,食品番号,索引番号,食品名　100gあたり栄養素,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物 g,食塩相当量 g
11,11057,1677,＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　皮下脂肪なし　生,203,19.7,13.9,0.6,0.1
11,11058,1678,＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　赤肉　生,142,22.0,6.1,0.7,0.2
11,11059,1679,＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　生,177,20.8,11.2,0.5,0.1
11,11253,1680,＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　焼き,238,27.2,15.2,0.4,0.2
11,11254,1681,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　生,489,12.0,51.8,0.3,0.1
11,11256,1682,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　ゆで,540,13.2,56.5,0.1,0
11,11255,1683,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　焼き,575,14.5,60.1,0.2,0.1
11,11257,1684,＜畜肉類＞　うし　［交雑牛肉］　リブロース　皮下脂肪なし　生,438,13.6,45.2,0.3,0.1
11,11258,1685,＜畜肉類＞　うし　［交雑牛肉］　リブロース　赤肉　生,338,16.7,32.3,0.4,0.1
11,11259,1686,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身　生,759,3.6,86.7,0,0
11,11260,1687,＜畜肉類＞　うし　［交雑牛肉］　ばら　脂身つき　生,445,12.2,44.4,0.3,0.2
11,11261,1688,＜畜肉類＞　うし　［交雑牛肉］　もも　脂身つき　生,312,16.4,28.9,0.4,0.2
11,11262,1689,＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　生,250,18.3,21.6,0.4,0.2
11,11264,1690,＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　ゆで,331,25.7,28.2,0.2,0.1
11,11263,1691,＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　焼き,313,25.0,27.6,0.5,0.2
11,11265,1692,＜畜肉類＞　うし　［交雑牛肉］　もも　赤肉　生,222,19.3,17.5,0.5,0.2
11,11266,1693,＜畜肉類＞　うし　［交雑牛肉］　もも　脂身　生,682,4.8,75.8,0.1,0.1
11,11267,1694,＜畜肉類＞　うし　［交雑牛肉］　ヒレ　赤肉　生,229,19.0,18.0,0.4,0.1
11,11060,1695,＜畜肉類＞　うし　［輸入牛肉］　かた　脂身つき　生,160,19.0,10.6,0.1,0.1
11,11061,1696,＜畜肉類＞　うし　［輸入牛肉］　かた　皮下脂肪なし　生,138,19.6,7.8,0.1,0.1
11,11062,1697,＜畜肉類＞　うし　［輸入牛肉］　かた　赤肉　生,114,20.4,4.6,0.1,0.1
11,11063,1698,＜畜肉類＞　うし　［輸入牛肉］　かた　脂身　生,537,7.1,60.5,0,0.1
11,11064,1699,＜畜肉類＞　うし　［輸入牛肉］　かたロース　脂身つき　生,221,17.9,17.4,0.1,0.1
11,11065,1700,＜畜肉類＞　うし　［輸入牛肉］　かたロース　皮下脂肪なし　生,219,18.0,17.1,0.1,0.1
11,11066,1701,＜畜肉類＞　うし　［輸入牛肉］　かたロース　赤肉　生,160,19.7,9.5,0.1,0.1
11,11067,1702,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　生,212,20.1,15.4,0.4,0.1
11,11269,1703,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　ゆで,307,25.8,23.9,0.1,0
11,11268,1704,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　焼き,306,25.0,23.9,0.3,0.1
11,11068,1705,＜畜肉類＞　うし　［輸入牛肉］　リブロース　皮下脂肪なし　生,203,20.3,14.4,0.4,0.1
11,11069,1706,＜畜肉類＞　うし　［輸入牛肉］　リブロース　赤肉　生,163,21.7,9.1,0.4,0.1
11,11070,1707,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身　生,653,5.7,73.1,0.1,0
11,11071,1708,＜畜肉類＞　うし　［輸入牛肉］　サーロイン　脂身つき　生,273,17.4,23.7,0.4,0.1
11,11072,1709,＜畜肉類＞　うし　［輸入牛肉］　サーロイン　皮下脂肪なし　生,218,19.1,16.5,0.4,0.1
11,11073,1710,＜畜肉類＞　うし　［輸入牛肉］　サーロイン　赤肉　生,127,22.0,4.4,0.5,0.1
11,11074,1711,＜畜肉類＞　うし　［輸入牛肉］　ばら　脂身つき　生,338,14.4,32.9,0.2,0.1
11,11075,1712,＜畜肉類＞　うし　［輸入牛肉］　もも　脂身つき　生,148,19.6,8.6,0.4,0.1
11,11076,1713,＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　生,133,20.0,6.7,0.4,0.1
11,11271,1714,＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　ゆで,204,30.0,11.0,0.2,0
11,11270,1715,＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　焼き,205,28.0,14.1,0.4,0.1
11,11077,1716,＜畜肉類＞　うし　［輸入牛肉］　もも　赤肉　生,117,21.2,4.3,0.4,0.1
11,11078,1717,＜畜肉類＞　うし　［輸入牛肉］　もも　脂身　生,580,6.3,64.4,0.2,0
11,11079,1718,＜畜肉類＞　うし　［輸入牛肉］　そともも　脂身つき　生,197,18.7,14.3,0.3,0.1
11,11080,1719,＜畜肉類＞　うし　［輸入牛肉］　そともも　皮下脂肪なし　生,178,19.3,11.9,0.3,0.1
11,11081,1720,＜畜肉類＞　うし　［輸入牛肉］　そともも　赤肉　生,117,21.2,3.9,0.3,0.1
